time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-16T02:42:26.835Z,39.0239,-99.5571,5,2.5,mb_lg,,104,0.252,1.03,us,us6000c8nc,2020-10-16T03:00:46.040Z,"9 km N of Ellis, Kansas",earthquake,4.5,2,0.065,61,reviewed,us,us
2020-10-16T02:40:40.700Z,17.9418,-66.9805,9,2.56,md,22,213,0.0695,0.13,pr,pr2020290001,2020-10-16T04:28:49.370Z,"7 km ESE of La Parguera, Puerto Rico",earthquake,0.41,0.44,0.24,12,reviewed,pr,pr
2020-10-16T02:34:54.587Z,60.9254,-151.3489,65.4,3.1,ml,,,,0.71,ak,ak020dbn8x0e,2020-10-16T18:48:35.143Z,"19 km SW of Tyonek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-16T01:35:47.690Z,-20.8104,-69.0171,112.92,4.1,mb,,81,0.678,0.7,us,us6000c8mx,2020-10-16T02:02:15.040Z,"135 km ESE of Iquique, Chile",earthquake,5.8,9.6,0.262,4,reviewed,us,us
2020-10-16T00:58:49.718Z,36.6414,-5.3689,10,4.3,mwr,,80,0.696,0.62,us,us6000c8mr,2020-10-16T21:04:21.680Z,"3 km NW of Cortes de la Frontera, Spain",earthquake,4.3,1.9,0.08,15,reviewed,us,us
2020-10-16T00:40:54.530Z,19.2401666666667,-155.4125,32.77,2.59,md,55,110,,0.12,hv,hv72182286,2020-10-16T01:56:57.849Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.45,0.56,0.150480988381247,26,reviewed,hv,hv
2020-10-16T00:32:45.680Z,10.4529,122.2611,35,4.8,mb,,98,4.696,0.7,us,us6000c8ms,2020-10-16T06:11:25.185Z,"19 km SE of San Joaquin, Philippines",earthquake,8.6,1.2,0.076,53,reviewed,us,us
2020-10-16T00:08:23.404Z,8.1153,-37.947,10,5,mb,,43,14,0.67,us,us6000c8mg,2020-10-16T00:38:07.040Z,"central Mid-Atlantic Ridge",earthquake,9.3,1.8,0.024,545,reviewed,us,us
2020-10-15T22:49:29.677Z,60.3314,-143.6104,0,2.5,ml,,,,0.89,ak,ak020dabpef0,2020-10-15T23:03:08.710Z,"120 km ESE of Cordova, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-15T22:41:37.374Z,-20.8091,-177.7326,475.85,4.2,mb,,134,5.013,0.66,us,us6000c8m7,2020-10-15T23:04:30.040Z,"264 km W of Haveluloto, Tonga",earthquake,15.5,10.1,0.1,28,reviewed,us,us
2020-10-15T22:29:08.051Z,44.2843,-115.1013,10,2.7,ml,,66,0.296,1.18,us,us6000c8m9,2020-10-16T06:31:50.313Z,"14 km WNW of Stanley, Idaho",earthquake,1.6,2,0.055,44,reviewed,us,us
2020-10-15T22:06:27.755Z,-3.4216,100.0797,10,4.5,mb,,166,3.017,0.97,us,us6000c8m0,2020-10-15T22:34:22.040Z,"209 km SW of Sungai Penuh, Indonesia",earthquake,9.9,1.9,0.15,13,reviewed,us,us
2020-10-15T21:40:56.668Z,15.3022,-89.0464,10,4.1,mwr,,74,0.948,1.16,us,us6000c8lx,2020-10-15T22:07:41.040Z,"7 km NE of Los Amates, Guatemala",earthquake,2.5,2,0.093,11,reviewed,us,us
2020-10-15T21:39:12.628Z,69.3652,-144.2128,37.9,2.6,ml,,,,0.97,ak,ak020dab1sbc,2020-10-15T21:45:49.864Z,"88 km SSW of Kaktovik, Alaska",earthquake,,8.6,,,automatic,ak,ak
2020-10-15T21:15:29.410Z,17.848,-66.8451,5,2.67,md,21,226,0.1316,0.2,pr,pr2020289011,2020-10-15T21:52:17.727Z,"15 km SSE of Maria Antonia, Puerto Rico",earthquake,0.54,0.33,0.22,19,reviewed,pr,pr
2020-10-15T19:49:29.710Z,17.9421,-66.9815,9,2.99,md,22,212,0.0684,0.16,pr,pr2020289009,2020-10-15T20:10:23.740Z,"7 km ESE of La Parguera, Puerto Rico",earthquake,0.43,0.44,0.26,17,reviewed,pr,pr
2020-10-15T19:42:32.668Z,60.1911,-137.2109,0,2.7,ml,,,,1.09,ak,ak020da9vlpl,2020-10-15T20:16:26.360Z,"64 km SSE of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
2020-10-15T19:20:18.280Z,39.7111667,-110.7136667,-2.04,2.54,ml,23,50,0.02932,0.18,uu,uu60414572,2020-10-15T21:45:01.790Z,"8 km ENE of Kenilworth, Utah",earthquake,0.27,0.45,0.165,17,reviewed,uu,uu
2020-10-15T18:06:34.210Z,17.94,-66.9838,10,3.82,md,27,216,0.0672,0.12,pr,pr2020289007,2020-10-16T18:08:45.120Z,"7 km ESE of La Parguera, Puerto Rico",earthquake,0.37,0.36,0.15,17,reviewed,pr,pr
2020-10-15T16:52:41.247Z,-0.4881,98.7029,41.29,4.4,mb,,148,2.107,0.88,us,us6000c8k2,2020-10-15T18:54:44.040Z,"158 km W of Pariaman, Indonesia",earthquake,8.9,8.5,0.105,30,reviewed,us,us
2020-10-15T16:41:22.200Z,61.1826,-149.355,29.5,2.6,ml,,,,0.68,ak,ak020da832dn,2020-10-16T16:15:17.300Z,"17 km ESE of Elmendorf Air Force Base, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-10-15T16:05:15.472Z,61.1631,-149.336,18.1,4,ml,,,,0.56,ak,ak020da7vc4e,2020-10-17T09:23:18.459Z,"19 km ESE of Elmendorf Air Force Base, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-10-15T15:20:05.098Z,33.8933,136.9454,353.06,4,mb,,69,1.454,0.9,us,us6000c8jp,2020-10-15T17:12:02.040Z,"66 km S of Toba, Japan",earthquake,8.7,6.8,0.057,83,reviewed,us,us
